timestring;timeunix;is_last;name;nat_id;received_ip_src;received_ip_ttl;received_timestamp;rtt_usec;sent_ip_dst;sent_ip_ttl;sent_timestamp;sent_udp_dport
2023-05-08 15:17:17.539125;1683548237.539131;False;10.3.1.129;16364;10.3.1.129;247;1683548230.166165;10205;8.8.8.8;10;1683548230.155960;33441;
2023-05-08 15:17:17.539251;1683548237.539256;False;72.14.220.188;16364;72.14.220.188;243;1683548230.182495;10774;8.8.8.8;11;1683548230.171721;33441;
2023-05-08 15:17:17.539360;1683548237.539365;False;108.170.250.66;16364;108.170.250.66;242;1683548230.199870;9124;8.8.8.8;12;1683548230.190746;33441;
2023-05-08 15:17:17.539480;1683548237.539485;False;142.250.238.214;16364;142.250.238.214;240;1683548230.241416;34763;8.8.8.8;13;1683548230.206653;33441;
2023-05-08 15:17:17.539634;1683548237.5396411;False;142.250.235.68;16364;142.250.235.68;241;1683548230.257607;35998;8.8.8.8;14;1683548230.221609;33441;
2023-05-08 15:17:17.539744;1683548237.5397491;False;216.239.49.113;16364;216.239.49.113;241;1683548230.269677;33737;8.8.8.8;15;1683548230.235940;33441;
2023-05-08 15:17:17.540026;1683548237.540032;True;;;;;;None;8.8.8.8;16;1683548230.255290;33441;
2023-05-08 15:17:17.540206;1683548237.540211;False;192.168.0.1;0;192.168.0.1;64;1683548230.517802;3767;8.8.8.8;1;1683548230.514035;33442;
2023-05-08 15:17:17.540313;1683548237.540318;True;;;;;;None;8.8.8.8;2;1683548230.536573;33442;
2023-05-08 15:17:17.540420;1683548237.540425;True;;;;;;None;8.8.8.8;1;1683548231.75473;33443;
2023-05-08 15:17:23.388301;1683548243.388318;False;192.168.0.1;0;192.168.0.1;64;1683548237.556913;7423;1.1.1.1;1;1683548237.549490;33434;
2023-05-08 15:17:23.388979;1683548243.388994;False;100.79.0.1;0;100.79.0.1;254;1683548237.583871;9846;1.1.1.1;2;1683548237.574025;33434;
2023-05-08 15:17:23.390015;1683548243.390029;False;10.1.139.5;0;10.1.139.5;62;1683548237.601268;12671;1.1.1.1;3;1683548237.588597;33434;
2023-05-08 15:17:23.390163;1683548243.39017;False;10.1.139.17;0;10.1.139.17;254;1683548237.616623;8265;1.1.1.1;4;1683548237.608358;33434;
2023-05-08 15:17:23.390342;1683548243.3903491;False;10.0.21.163;0;10.0.21.163;251;1683548237.633155;5879;1.1.1.1;5;1683548237.627276;33434;
2023-05-08 15:17:23.390510;1683548243.390518;False;10.17.0.139;0;10.17.0.139;250;1683548237.650137;6836;1.1.1.1;6;1683548237.643301;33434;
2023-05-08 15:17:23.390662;1683548243.390671;False;10.17.0.100;0;10.17.0.100;249;1683548237.667689;8145;1.1.1.1;7;1683548237.659544;33434;
2023-05-08 15:17:23.390804;1683548243.390811;False;10.17.0.65;16364;10.17.0.65;248;1683548237.684617;8459;1.1.1.1;8;1683548237.676158;33434;
2023-05-08 15:17:23.390981;1683548243.39099;False;10.17.0.146;16364;10.17.0.146;248;1683548237.696813;6285;1.1.1.1;9;1683548237.690528;33434;
2023-05-08 15:17:23.391102;1683548243.391108;False;194.186.77.173;16364;194.186.77.173;247;1683548237.712688;6090;1.1.1.1;10;1683548237.706598;33434;
2023-05-08 15:17:23.391281;1683548243.391289;False;pe05.kk12.moscow.gldn.net;16364;79.104.225.13;244;1683548237.742416;13207;1.1.1.1;11;1683548237.729209;33434;
2023-05-08 15:17:23.391407;1683548243.391413;False;be10.tf01-02.moscow.gldn.net;16364;81.211.45.63;242;1683548237.801893;52999;1.1.1.1;12;1683548237.748894;33434;
2023-05-08 15:17:23.391549;1683548243.391555;False;pe02.ekaterinburg.gldn.net;16364;79.104.240.161;242;1683548237.820912;49235;1.1.1.1;13;1683548237.771677;33434;
2023-05-08 15:17:23.391678;1683548243.391684;False;213.221.36.103;16364;213.221.36.103;242;1683548237.885470;73169;1.1.1.1;14;1683548237.812301;33434;
2023-05-08 15:17:23.391853;1683548243.391859;True;one.one.one.one;16364;1.1.1.1;53;1683548237.858852;30482;1.1.1.1;15;1683548237.828370;33434;
2023-05-08 15:17:23.391987;1683548243.391992;False;192.168.0.1;0;192.168.0.1;64;1683548238.113263;4577;1.1.1.1;1;1683548238.108686;33435;
2023-05-08 15:17:23.392217;1683548243.392223;False;100.79.0.1;0;100.79.0.1;254;1683548238.151392;26491;1.1.1.1;2;1683548238.124901;33435;
2023-05-08 15:17:23.392333;1683548243.392339;False;10.1.139.5;0;10.1.139.5;62;1683548238.141079;1960;1.1.1.1;3;1683548238.139119;33435;
2023-05-08 15:17:23.392497;1683548243.3925052;False;10.1.139.17;0;10.1.139.17;254;1683548238.163994;10744;1.1.1.1;4;1683548238.153250;33435;
2023-05-08 15:17:23.392673;1683548243.392682;False;10.0.21.163;0;10.0.21.163;251;1683548238.175633;5876;1.1.1.1;5;1683548238.169757;33435;
2023-05-08 15:17:23.392798;1683548243.3928058;False;10.17.0.139;0;10.17.0.139;250;1683548238.222057;36539;1.1.1.1;6;1683548238.185518;33435;
2023-05-08 15:17:23.392922;1683548243.392928;False;10.17.0.100;0;10.17.0.100;249;1683548238.216533;14143;1.1.1.1;7;1683548238.202390;33435;
2023-05-08 15:17:23.393027;1683548243.393033;False;10.17.0.65;16364;10.17.0.65;248;1683548238.227781;7460;1.1.1.1;8;1683548238.220321;33435;
2023-05-08 15:17:23.393128;1683548243.393137;False;10.17.0.146;16364;10.17.0.146;248;1683548238.249248;13084;1.1.1.1;9;1683548238.236164;33435;
2023-05-08 15:17:23.393230;1683548243.393238;False;194.186.77.173;16364;194.186.77.173;247;1683548238.265390;6118;1.1.1.1;10;1683548238.259272;33435;
2023-05-08 15:17:23.393331;1683548243.393344;False;pe05.kk12.moscow.gldn.net;16364;79.104.225.15;244;1683548238.287334;13312;1.1.1.1;11;1683548238.274022;33435;
2023-05-08 15:17:23.393471;1683548243.393478;False;be10.tf01-02.moscow.gldn.net;16364;81.211.45.63;242;1683548238.335846;47815;1.1.1.1;12;1683548238.288031;33435;
2023-05-08 15:17:23.393613;1683548243.393621;False;pe02.ekaterinburg.gldn.net;16364;79.104.240.161;242;1683548238.341455;38687;1.1.1.1;13;1683548238.302768;33435;
2023-05-08 15:17:23.393755;1683548243.393762;False;213.221.36.103;16364;213.221.36.103;242;1683548238.358275;36616;1.1.1.1;14;1683548238.321659;33435;
2023-05-08 15:17:23.393878;1683548243.393884;True;one.one.one.one;16364;1.1.1.1;53;1683548238.369110;29723;1.1.1.1;15;1683548238.339387;33435;
2023-05-08 15:17:23.394058;1683548243.394064;False;192.168.0.1;0;192.168.0.1;64;1683548238.602567;3590;1.1.1.1;1;1683548238.598977;33436;
2023-05-08 15:17:23.394181;1683548243.394186;False;100.79.0.1;0;100.79.0.1;254;1683548238.618701;5899;1.1.1.1;2;1683548238.612802;33436;
2023-05-08 15:17:23.394317;1683548243.3943229;False;10.1.139.5;0;10.1.139.5;62;1683548238.636671;4645;1.1.1.1;3;1683548238.632026;33436;
2023-05-08 15:17:23.394462;1683548243.394467;False;10.1.139.17;0;10.1.139.17;254;1683548238.654673;6247;1.1.1.1;4;1683548238.648426;33436;
2023-05-08 15:17:23.394611;1683548243.3946161;False;10.0.21.163;0;10.0.21.163;251;1683548238.679046;3434;1.1.1.1;5;1683548238.675612;33436;
2023-05-08 15:17:23.394753;1683548243.394758;False;10.17.0.139;0;10.17.0.139;250;1683548238.722714;22437;1.1.1.1;6;1683548238.700277;33436;
2023-05-08 15:17:23.394879;1683548243.394884;False;10.17.0.100;0;10.17.0.100;249;1683548238.753617;20549;1.1.1.1;7;1683548238.733068;33436;
2023-05-08 15:17:23.395016;1683548243.395021;False;10.17.0.65;16364;10.17.0.65;248;1683548238.765123;4736;1.1.1.1;8;1683548238.760387;33436;
2023-05-08 15:17:23.395152;1683548243.395157;False;10.17.0.154;16364;10.17.0.154;248;1683548238.787631;8606;1.1.1.1;9;1683548238.779025;33436;
2023-05-08 15:17:23.395289;1683548243.395294;False;194.186.77.173;16364;194.186.77.173;247;1683548238.805162;5359;1.1.1.1;10;1683548238.799803;33436;
2023-05-08 15:17:23.395422;1683548243.395427;False;pe05.kk12.moscow.gldn.net;16364;79.104.225.13;244;1683548238.828489;13477;1.1.1.1;11;1683548238.815012;33436;
2023-05-08 15:17:23.395536;1683548243.395541;False;be10.tf01-02.moscow.gldn.net;16364;81.211.45.63;242;1683548238.885211;54840;1.1.1.1;12;1683548238.830371;33436;
