1679765212.441133;154.54.56.189;130.117.0.121;19.381
1679765212.4411972;130.117.0.121;154.54.56.93;110.233
1679765212.4412756;154.54.56.93;154.54.30.185;109.975
1679765212.4413328;154.54.30.185;154.54.47.49;109.994
1679765212.4413888;154.54.47.49;154.54.6.221;110.164
1679765212.4414446;154.54.6.221;154.54.42.165;127.557
1679765212.4415016;154.54.42.165;154.54.5.89;132.922
1679765212.441557;154.54.5.89;154.54.41.145;143.331
1679765212.4416125;154.54.41.145;154.54.44.73;158.155
1679765212.4416678;154.54.44.73;154.54.42.206;159.252
1679765212.4417233;154.54.42.206;38.122.90.42;159.248
1679765212.4417782;38.122.90.42;63.251.160.69;158.444
1679765212.4418333;63.251.160.69;63.251.162.46;160.171
1679765212.441888;63.251.162.46;69.25.117.17;164.989
1679765212.4419568;69.25.117.17;171.22.131.124;159.625
1679765272.257448;173.212.238.3;62.67.36.137;8.341
1679765272.257642;62.67.36.137;4.69.219.142;117.562
1679765292.5164087;213.136.75.1;62.115.171.180;0.914
1679765292.5165534;62.115.171.180;62.115.113.146;3.895
1679765292.516638;62.115.113.146;62.115.123.13;11.869
1679765292.516701;62.115.123.13;62.115.112.242;98.017
1679765292.5167608;62.115.112.242;62.115.120.177;123.749
1679765292.5168202;62.115.120.177;195.12.254.115;121.28
1679765292.5174055;195.12.254.115;5.254.79.54;120.709
1679765292.5177736;5.254.79.54;5.254.46.79;121.361
1679765307.4205492;173.212.238.3;62.67.36.137;8.226
1679765307.4207811;62.67.36.137;4.69.219.142;117.375
1679765307.4208698;4.69.219.142;4.15.222.146;118.416
1679765307.4209428;4.15.222.146;5.254.79.54;117.442
1679765307.4210038;5.254.79.54;5.254.22.132;118.138
1679765327.7393868;213.136.75.1;62.115.33.118;0.842
1679765327.739535;62.115.33.118;62.115.113.146;3.915
1679765327.7396302;62.115.113.146;62.115.123.13;11.817
1679765327.73982;62.115.123.13;62.115.112.242;97.832
1679765327.7399;62.115.112.242;62.115.120.177;123.741
1679765327.7399929;62.115.120.177;195.12.254.178;123.581
1679765327.7400663;195.12.254.178;185.156.45.247;123.52
1679765327.7401285;185.156.45.247;45.134.142.69;123.435
1679765362.7502558;213.136.75.1;62.115.33.118;0.828
1679765362.7504334;62.115.33.118;62.115.113.146;3.844
1679765362.7505023;62.115.113.146;62.115.123.13;11.847
1679765362.7505634;62.115.123.13;62.115.112.242;97.602
1679765362.7506218;62.115.112.242;62.115.137.39;156.158
1679765362.7506797;62.115.137.39;213.155.129.11;196.44
1679765362.7507508;213.155.129.11;83.97.21.63;200.134
1679765362.7508276;83.97.21.63;146.70.0.101;155.254
1679765362.7508826;146.70.0.101;217.148.140.135;153.777
1679765391.168251;173.212.238.3;62.67.36.137;8.345
1679765391.1684387;62.67.36.137;129.250.9.5;8.352
